tconst,ordering,nconst,category,job,characters
tt0033045,1,nm0837925,actress,\N,"[""Klara Novak""]"
tt0033045,2,nm0000071,actor,\N,"[""Alfred Kralik""]"
tt0033045,3,nm0604656,actor,\N,"[""Hugo Matuschek""]"
tt0033045,4,nm0771584,actor,\N,"[""Ferencz Vadas""]"
tt0033045,5,nm0523932,director,\N,\N
tt0033045,6,nm0710723,writer,screenplay,\N
tt0033045,7,nm0529450,writer,based on a play by,\N
tt0033045,8,nm0372942,writer,\N,\N
tt0033045,9,nm0006128,composer,\N,\N
tt0033467,10,nm0005904,cinematographer,\N,\N
tt0033467,1,nm0000080,actor,\N,"[""Kane""]"
tt0033467,2,nm0001072,actor,\N,"[""Jedediah Leland"",""Screening Room Reporter""]"
tt0033467,3,nm0173827,actress,\N,"[""Susan Alexander Kane""]"
tt0033467,4,nm0001547,actress,\N,"[""Mary Kane""]"
tt0033467,5,nm0542534,writer,original screen play,\N
tt0033467,6,nm0002144,writer,contributing writer,\N
tt0033467,7,nm0219670,writer,contributing writer,\N
tt0033467,8,nm0448809,writer,contributing writer,\N
tt0033467,9,nm0002136,composer,\N,\N
tt0033870,1,nm0000007,actor,\N,"[""Samuel Spade""]"
tt0033870,2,nm0000802,actress,\N,"[""Brigid O'Shaughnessy""]"
tt0033870,3,nm0313438,actress,\N,"[""Iva Archer""]"
tt0033870,4,nm0000048,actor,\N,"[""Joel Cairo""]"
tt0033870,5,nm0001379,director,\N,\N
tt0033870,6,nm0358591,writer,based upon the novel by,\N
tt0033870,7,nm0006037,composer,\N,\N
tt0033870,8,nm0249186,cinematographer,director of photography,\N
tt0033870,9,nm0724360,editor,film editor,\N
tt0034583,10,nm0019706,writer,from a play by,\N
tt0034583,1,nm0000007,actor,\N,"[""Rick Blaine""]"
tt0034583,2,nm0000006,actress,\N,"[""Ilsa Lund""]"
tt0034583,3,nm0002134,actor,\N,"[""Victor Laszlo""]"
tt0034583,4,nm0001647,actor,\N,"[""Captain Louis Renault""]"
tt0034583,5,nm0002031,director,\N,\N
tt0034583,6,nm0258493,writer,screen play by,\N
tt0034583,7,nm0258525,writer,screen play by,\N
tt0034583,8,nm0462321,writer,screen play by,\N
tt0034583,9,nm0122417,writer,from a play by,\N
tt0035446,10,nm0817929,editor,film editor,\N
tt0035446,1,nm0001479,actress,\N,"[""Maria Tura""]"
tt0035446,2,nm0000912,actor,\N,"[""Joseph Tura""]"
tt0035446,3,nm0821041,actor,\N,"[""Lieutenant Stanislav Sobinski""]"
tt0035446,4,nm0107795,actor,\N,"[""Greenberg""]"
tt0035446,5,nm0523932,director,\N,\N
tt0035446,6,nm0501872,writer,original story,\N
tt0035446,7,nm0562372,writer,screenplay,\N
tt0035446,8,nm0006128,composer,\N,\N
tt0035446,9,nm0005789,cinematographer,\N,\N
tt0036775,1,nm0534045,actor,\N,"[""Walter Neff""]"
tt0036775,2,nm0001766,actress,\N,"[""Phyllis Dietrichson""]"
tt0036775,3,nm0000064,actor,\N,"[""Barton Keyes""]"
tt0036775,4,nm0056477,actor,\N,"[""Nino Zachetti""]"
tt0036775,5,nm0000697,director,\N,\N
tt0036775,6,nm0151452,writer,screenplay,\N
tt0036775,7,nm0128906,writer,from the novel by,\N
tt0036775,8,nm0000067,composer,\N,\N
tt0036775,9,nm0005870,cinematographer,director of photography,\N
tt0036868,10,nm0005904,cinematographer,director of photography,\N
tt0036868,1,nm0001485,actress,\N,"[""Milly Stephenson""]"
tt0036868,2,nm0000763,actor,\N,"[""Fred Derry""]"
tt0036868,3,nm0545298,actor,\N,"[""Al Stephenson""]"
tt0036868,4,nm0942863,actress,\N,"[""Peggy Stephenson""]"
tt0036868,5,nm0943758,director,\N,\N
tt0036868,6,nm0792845,writer,screen play,\N
tt0036868,7,nm0437969,writer,from a novel by,\N
tt0036868,8,nm0326418,producer,producer,\N
tt0036868,9,nm0006087,composer,\N,\N
tt0037558,10,nm0364789,editor,\N,\N
tt0037558,1,nm0424743,actress,\N,"[""Laura Jesson""]"
tt0037558,2,nm0002145,actor,\N,"[""Dr. Alec Harvey""]"
tt0037558,3,nm0391361,actor,\N,"[""Albert Godby""]"
tt0037558,4,nm0136983,actress,\N,"[""Myrtle Bagot""]"
tt0037558,5,nm0000180,director,\N,\N
tt0037558,6,nm0002021,writer,"play ""Still Life""",\N
tt0037558,7,nm0369743,writer,\N,\N
tt0037558,8,nm0623768,writer,\N,\N
tt0037558,9,nm0005761,cinematographer,director of photography,\N
tt0038650,10,nm0933858,writer,contributor to screenplay,\N
tt0038650,1,nm0000071,actor,\N,"[""George Bailey""]"
tt0038650,2,nm0001656,actress,\N,"[""Mary Hatch""]"
tt0038650,3,nm0000859,actor,\N,"[""Mr. Potter""]"
tt0038650,4,nm0593775,actor,\N,"[""Uncle Billy""]"
tt0038650,5,nm0001008,director,\N,\N
tt0038650,6,nm0329304,writer,screenplay by,\N
tt0038650,7,nm0352443,writer,screenplay by,\N
tt0038650,8,nm0842485,writer,additional scenes,\N
tt0038650,9,nm0827821,writer,based on a story by,\N
tt0038890,10,nm0033169,cinematographer,\N,\N
tt0038890,1,nm0536167,actress,\N,"[""Pina""]"
tt0038890,2,nm0264762,actor,\N,"[""Don Pietro Pellegrini""]"
tt0038890,3,nm0656496,actor,\N,"[""Giorgio Manfredi aka Luigi Ferraris""]"
tt0038890,4,nm0030383,actor,\N,"[""Piccolo Marcello""]"
tt0038890,5,nm0744023,director,\N,\N
tt0038890,6,nm0024847,writer,screenplay,\N
tt0038890,7,nm0000019,writer,collaboration on screenplay,\N
tt0038890,8,nm0175924,writer,additional material,\N
tt0038890,9,nm0744021,composer,\N,\N
tt0039689,10,nm0002202,composer,\N,\N
tt0039689,1,nm0000053,actor,\N,"[""Jeff""]"
tt0039689,2,nm0339452,actress,\N,"[""Kathie""]"
tt0039689,3,nm0000018,actor,\N,"[""Whit""]"
tt0039689,4,nm0281766,actress,\N,"[""Meta Carson""]"
tt0039689,5,nm0869664,director,\N,\N
tt0039689,6,nm0537784,writer,screen play by,\N
tt0039689,7,nm0128906,writer,\N,\N
tt0039689,8,nm0272045,writer,\N,\N
tt0039689,9,nm0240417,producer,producer,\N
tt0040522,10,nm0290000,writer,screenplay,\N
tt0040522,1,nm0536009,actor,\N,"[""Antonio""]"
tt0040522,2,nm0821543,actor,\N,"[""Bruno""]"
tt0040522,3,nm0136794,actress,\N,"[""Maria""]"
tt0040522,4,nm0022821,actress,\N,"[""The Charitable Lady""]"
tt0040522,5,nm0001120,director,\N,\N
tt0040522,6,nm0953790,writer,story,\N
tt0040522,7,nm0059030,writer,novel,\N
tt0040522,8,nm0080755,writer,screenplay,\N
tt0040522,9,nm0147599,writer,screenplay,\N
tt0040725,10,nm0002153,cinematographer,director of photography,\N
tt0040725,1,nm0906932,actor,\N,"[""Boris Lermontov""]"
tt0040725,2,nm0330961,actor,\N,"[""Julian Craster""]"
tt0040725,3,nm0790452,actress,\N,"[""Victoria Page""]"
tt0040725,4,nm0375818,actor,\N,"[""Ivan Boleslawsky""]"
tt0040725,5,nm0003836,director,\N,\N
tt0040725,6,nm0696247,director,\N,\N
tt0040725,7,nm0026153,writer,fairy tale,\N
tt0040725,8,nm0935773,writer,additional dialogue,\N
tt0040725,9,nm0247460,composer,\N,\N
tt0040897,10,nm0548929,editor,\N,\N
tt0040897,1,nm0000007,actor,\N,"[""Fred C. Dobbs""]"
tt0040897,2,nm0404158,actor,\N,"[""Howard""]"
tt0040897,3,nm0392529,actor,\N,"[""Curtin""]"
tt0040897,4,nm0071636,actor,\N,"[""Cody""]"
tt0040897,5,nm0001379,director,\N,\N
tt0040897,6,nm0871252,writer,based on the novel by,\N
tt0040897,7,nm0087533,producer,producer,\N
tt0040897,8,nm0000070,composer,\N,\N
tt0040897,9,nm0005792,cinematographer,director of photography,\N
tt0041546,10,nm0005878,cinematographer,director of photography,\N
tt0041546,1,nm0696866,actor,\N,"[""Louis""]"
tt0041546,2,nm0000027,actor,\N,"[""The D'Ascoyne Family: The Duke"",""The Banker"",""The Parson""]"
tt0041546,3,nm0387753,actress,\N,"[""Edith""]"
tt0041546,4,nm0339343,actress,\N,"[""Sibella""]"
tt0041546,5,nm0357607,director,\N,\N
tt0041546,6,nm0395170,writer,novel,\N
tt0041546,7,nm0226538,writer,screenplay,\N
tt0041546,8,nm0593867,writer,screenplay revisions,\N
tt0041546,9,nm0049608,producer,producer,\N
tt0041959,1,nm0000080,actor,\N,"[""Harry Lime""]"
tt0041959,2,nm0001072,actor,\N,"[""Holly Martins""]"
tt0041959,3,nm0885098,actress,\N,"[""Anna Schmidt""]"
tt0041959,4,nm0002145,actor,\N,"[""Maj. Calloway""]"
tt0041959,5,nm0715346,director,\N,\N
tt0041959,6,nm0001294,writer,by,\N
tt0041959,7,nm0466099,writer,story,\N
tt0041959,8,nm0005761,cinematographer,\N,\N
tt0041959,9,nm0353091,editor,\N,\N
tt0042041,10,nm0000070,composer,\N,\N
tt0042041,1,nm0000010,actor,\N,"[""Cody Jarrett""]"
tt0042041,2,nm0562920,actress,\N,"[""Verna Jarrett""]"
tt0042041,3,nm0639529,actor,\N,"[""Hank Fallon aka Vic Pardo""]"
tt0042041,4,nm0943618,actress,\N,"[""Ma Jarrett""]"
tt0042041,5,nm0909825,director,\N,\N
tt0042041,6,nm0324578,writer,screen play,\N
tt0042041,7,nm0730850,writer,screen play,\N
tt0042041,8,nm0446132,writer,suggested by a story by,\N
tt0042041,9,nm0248994,producer,producer,\N
tt0042192,10,nm0572492,editor,\N,\N
tt0042192,1,nm0000012,actress,\N,"[""Margo""]"
tt0042192,2,nm0000879,actress,\N,"[""Eve""]"
tt0042192,3,nm0001695,actor,\N,"[""Addison DeWitt""]"
tt0042192,4,nm0002141,actress,\N,"[""Karen""]"
tt0042192,5,nm0000581,director,\N,\N
tt0042192,6,nm0650581,writer,"story ""The Wisdom of Eve""",\N
tt0042192,7,nm0953123,producer,producer,\N
tt0042192,8,nm0000055,composer,\N,\N
tt0042192,9,nm0005762,cinematographer,director of photography,\N
tt0042876,10,nm0594335,cinematographer,\N,\N
tt0042876,1,nm0001536,actor,\N,"[""Tajômaru""]"
tt0042876,2,nm0477553,actress,\N,"[""Masako Kanazawa""]"
tt0042876,3,nm0605270,actor,\N,"[""Takehiro Kanazawa""]"
tt0042876,4,nm0793766,actor,\N,"[""Woodcutter""]"
tt0042876,5,nm0000041,director,\N,\N
tt0042876,6,nm0015611,writer,stories Rashomon and In a Grove,\N
tt0042876,7,nm0368074,writer,screenplay,\N
tt0042876,8,nm0423122,producer,producer,\N
tt0042876,9,nm0370593,composer,\N,\N
tt0043014,10,nm0772834,editor,\N,\N
tt0043014,1,nm0000034,actor,\N,"[""Joe Gillis""]"
tt0043014,2,nm0841797,actress,\N,"[""Norma Desmond""]"
tt0043014,3,nm0002233,actor,\N,"[""Max Von Mayerling""]"
tt0043014,4,nm0647970,actress,\N,"[""Betty Schaefer""]"
tt0043014,5,nm0000697,director,\N,\N
tt0043014,6,nm0102818,writer,written by,\N
tt0043014,7,nm0551261,writer,written by,\N
tt0043014,8,nm0000077,composer,\N,\N
tt0043014,9,nm0005870,cinematographer,director of photography,\N
tt0043338,10,nm0485702,cinematographer,director of photography,\N
tt0043338,1,nm0000018,actor,\N,"[""Chuck Tatum""]"
tt0043338,2,nm0012443,actress,\N,"[""Lorraine Minosa""]"
tt0043338,3,nm0037816,actor,\N,"[""Herbie Cook""]"
tt0043338,4,nm0356004,actor,\N,"[""Jacob Q. Boot""]"
tt0043338,5,nm0000697,director,\N,\N
tt0043338,6,nm0760488,writer,written by,\N
tt0043338,7,nm0628305,writer,written by,\N
tt0043338,8,nm0221528,writer,story,\N
tt0043338,9,nm0006087,composer,\N,\N
tt0044706,10,nm0930536,editor,\N,\N
tt0044706,1,nm0000011,actor,\N,"[""Marshal Will Kane""]"
tt0044706,2,nm0000038,actress,\N,"[""Amy Fowler Kane""]"
tt0044706,3,nm0593775,actor,\N,"[""Mayor Jonas Henderson""]"
tt0044706,4,nm0000978,actor,\N,"[""Deputy Marshal Harvey Pell""]"
tt0044706,5,nm0003593,director,\N,\N
tt0044706,6,nm0286025,writer,screenplay,\N
tt0044706,7,nm0192356,writer,"magazine story ""The Tin Star""",\N
tt0044706,8,nm0006323,composer,\N,\N
tt0044706,9,nm0005677,cinematographer,director of photography,\N
tt0044741,10,nm0620014,cinematographer,\N,\N
tt0044741,1,nm0793766,actor,\N,"[""Kanji Watanabe""]"
tt0044741,2,nm0437520,actor,\N,"[""Mitsuo Watanabe, Kanji's son""]"
tt0044741,3,nm0385443,actor,\N,"[""Kimura""]"
tt0044741,4,nm0848984,actor,\N,"[""Sakai""]"
tt0044741,5,nm0000041,director,\N,\N
tt0044741,6,nm0368074,writer,written by,\N
tt0044741,7,nm0644823,writer,written by,\N
tt0044741,8,nm0609404,producer,producer,\N
tt0044741,9,nm0370593,composer,\N,\N
tt0045152,10,nm0269751,editor,\N,\N
tt0045152,1,nm0000037,actor,\N,"[""Don Lockwood""]"
tt0045152,2,nm0640307,actor,\N,"[""Cosmo Brown""]"
tt0045152,3,nm0001666,actress,\N,"[""Kathy Selden""]"
tt0045152,4,nm0353405,actress,\N,"[""Lina Lamont""]"
tt0045152,5,nm0002045,director,\N,\N
tt0045152,6,nm0173679,writer,story by,\N
tt0045152,7,nm0337582,writer,story by,\N
tt0045152,8,nm0006085,producer,producer,\N
tt0045152,9,nm0005849,cinematographer,director of photography,\N
tt0045274,10,nm0017622,cinematographer,\N,\N
tt0045274,1,nm0061472,actor,\N,"[""Umberto Domenico Ferrari""]"
tt0045274,2,nm0143686,actress,\N,"[""Maria""]"
tt0045274,3,nm0312902,actress,\N,"[""Antonia Belloni""]"
tt0045274,4,nm0800837,actress,\N,"[""La donna nella camera di Umberto""]"
tt0045274,5,nm0001120,director,\N,\N
tt0045274,6,nm0953790,writer,story and screenplay,\N
tt0045274,7,nm0024155,producer,producer,\N
tt0045274,8,nm0729939,producer,producer,\N
tt0045274,9,nm0006007,composer,\N,\N
tt0046250,10,nm0002162,cinematographer,director of photography,\N
tt0046250,1,nm0000060,actor,\N,"[""Joe Bradley""]"
tt0046250,2,nm0000030,actress,\N,"[""Princess Ann""]"
tt0046250,3,nm0000734,actor,\N,"[""Irving Radovich""]"
tt0046250,4,nm0694403,actor,\N,"[""Mr. Hennessy""]"
tt0046250,5,nm0943758,director,\N,\N
